id;comment;star;is_flagged;degerlendirme;kategori;llm_uygunsuz;llm_sebep
392;Gidiş süper, ancak dönüşte 17.00 ve 17.30 yolcularını aynı feribota sıkıştırdılar, fazla kalabalıktı;4.0;True;negatif;profanity;True;Statik kural motoru tarafından engellendi.
4;Keyifli;5.0;False;pozitif;personel;False;
5;teşekkürler filo;5.0;False;pozitif;personel;False;
50;Sakin binmeyin.Benim gibi aptallik etmeyin.Gemi geç kalkıyor.Yetmedi hizmet sıfır.Sorumluluk yok.Alin paranizi uçağa binin.Ilk defa bindim.Bir daha asla binmem;1.0;True;negatif;insult;True;Statik kural motoru tarafından engellendi.
567;Son derece kötüydü rodon catamaran arızalı diyerek normal tekneye asım kaptan transfer yaptılar 1 saat kalkmasını bekledik ve yolculuk 1 saat sürdü sıkış tepiş gittik muhatap olacak kimse bulamadık ücretimizin geri ödenmesini talep ediyorum gereken hukuki  işlemleri yapacağım ;1.0;True;negatif;profanity;True;Statik kural motoru tarafından engellendi.
6;test;3.0;True;negatif;spam;True;Statik kural motoru tarafından engellendi.
649;Worst travel agency that you can pick for Kos-Bodrum root. Their check-in office is not working properly. Their agency officer is locking the stand most of the time and if you cannot catch the time she is here, you are not able to check in and take the ferry. I missed it because of this lady and she is not helping even for solution that she caused. There are many alternatives instead of Tilos. I highly suggest to evaluate other lines. ;1.0;True;negatif;profanity;True;Statik kural motoru tarafından engellendi.
7;test;3.0;True;negatif;spam;True;Statik kural motoru tarafından engellendi.
8;İğrenç bir yolculuktu.Insanlari 4 saat öncesinde limana dikip bekletmeniz rezillik gölge düzgün bekleyecek bir yer yok;1.0;False;negatif;personel;False;Personel tarafından verilen yorum
9;Siparişimi iptal etmesi için biriyle iletişime geçmeye çalıştım. İki saatlik telefon numaralarını aradıktan ve aradıktan sonra bile bu mümkün değildi. Çok kafa karıştırıcı iptal emri;2.0;False;negatif;personel;False;Uygunsuzluk veya şikayet nedeni (Türkçe): Sipariş iptali için telefon numaralarını aramak ve bu numaraların bulunmaması
